gene_name	test_N	test_Y	train_AUC	test_AUC	features_num	cell_line_num	eg_num	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10
MAF1	93.75	93.75	1	0.984	5611	90	45	ANKDD1A_expr	BCAT2_expr	ABL2_expr	AFAP1L1_expr	CCDC64_expr	CCDC120_expr	CD58_expr	CAPN9_expr	BLZF1_expr	ADAM19_expr
ZEB2	84.615	88.462	1	0.944	9586	150	75	CDC42BPG_expr	CAMSAP3_expr	EVPL_expr	ARHGAP8_expr	FA2H_expr	ESRP2_expr	CHST10_expr	C1ORF172_expr	EPHA1_expr	AP1M2_expr
FKRP	55	100	1	0.943	3636	114	57	ARV1_expr	ALG1L10P_expr	ADAMTS4_expr	ANAPC5_expr	BBC3_expr	ATP5O_expr	ATP5G3_expr	AC009948_expr	ADCY10P1_expr	AQP7P3_expr
RPL17-C18orf32	75	95	1	0.911	3627	114	57	ANKS1B_expr	BCL9L_expr	AREG_expr	ARHGAP10_expr	ARAP2_expr	AGRN_expr	AC145343_expr	ANXA1_expr	C19ORF33_expr	C10ORF91_expr
CCND3	70.588	88.235	1	0.903	5602	96	48	CADM4_expr	CCND3_expr	C3ORF70_expr	ANKRD40_expr	BNC1_expr	CD38_expr	ASPM_expr	C4ORF19_expr	CARKD_expr	AC009480_expr
UFC1	57.895	89.474	1	0.903	6567	106	53	AC005943_expr	CGGBP1_expr	CAMK1G_expr	ASIC1_expr	CASP4_expr	AFMID_expr	CDC23_expr	AGGF1_expr	ARF4_expr	BCAR3_expr
RHOXF2	43.75	93.75	1	0.902	3623	90	45	C1ORF143_expr	BHLHE40_expr	ABCC3_expr	AXL_expr	AIG1_expr	ATP10D_expr	ABLIM3_expr	ATP1B1_expr	ARHGAP19_expr	B4GALT1_expr
LRIG1	55	95	1	0.901	9573	112	56	COL18A1AS1_expr	CMTM8_expr	ERH_expr	CBX2_expr	CDT1_expr	CASC7_expr	CIB3_expr	COL20A1_expr	AC135048_expr	C19ORF48_expr
EIF5	26.316	100	1	0.896	4624	110	55	CATSPER1_expr	BAK1P1_expr	ANXA1_expr	CCND3_expr	ARHGAP18_expr	AC002456_expr	ANKRD18B_expr	CCDC41_expr	ATP5F1P6_expr	ARPC4_expr
KARS	47.619	95.238	1	0.891	94064	118	59	EPS8L2_expr	RP11479O9_expr	RAB3D_expr	MED8_expr	CTD2008P7_expr	RP11118M9_expr	TFAP2C_expr	AC091167_expr	RP11297K7_expr	ZNF536_expr
RIPK1	64.706	94.118	1	0.891	821	98	49	AC013268_expr	AC020571_expr	AC003102_expr	ABCA7_expr	AC019171_expr	AC007272_expr	AC005000_expr	AC002456_expr	AC003092_expr	AC004067_expr
RAB15	58.824	88.235	1	0.889	8548	98	49	C6ORF57_expr	CTB31O20_expr	ABLIM3_expr	COL17A1_expr	BCL3_expr	BCAR3_expr	CXCR1_expr	AP000695_expr	ASB9_expr	ANKLE1_expr
