gene,model
MAF1,DRF_model_R_1546575242649_2642
ZEB2,DRF_model_R_1546661352179_3499
FKRP,DRF_model_R_1546748241837_4052
RPL17-C18orf32,DRF_model_R_1546579322866_987
CCND3,DRF_model_R_1546748241837_4817
UFC1,DRF_model_R_1546748312635_4282
RHOXF2,DRF_model_R_1546579322866_140
LRIG1,DRF_model_R_1546841490275_2610
EIF5,DRF_model_R_1547081656041_928
KARS,DRF_model_R_1546748241837_9776
RIPK1,DRF_model_R_1546579322866_485
RAB15,DRF_model_R_1546748241837_242
KRAS,DRF_model_R_1547038769792_5906
ESPL1,DRF_model_R_1546841490275_488
CBFB,DRF_model_R_1546748312635_613
BCOR,DRF_model_R_1546748241837_7442
OR2G3,DRF_model_R_1547038835087_153
CYTL1,DRF_model_R_1546564584140_11091
CPSF3,DRF_model_R_1546748241837_7821
MRPS15,DRF_model_R_1547115334150_1903
CTNNB1,DRF_model_R_1546564584140_10487
EGFR,DRF_model_R_1546748241837_1202
CCT3,DRF_model_R_1546855501861_1670
BRAF,DRF_model_R_1546564584140_6895
ANAPC1,DRF_model_R_1546748383328_3036
CUL1,DRF_model_R_1547038769792_637
HNF1B,DRF_model_R_1546694917087_969
PFAS,DRF_model_R_1546748241837_1257
TPM3,DRF_model_R_1546661352179_708
LIMD1,DRF_model_R_1546936703494_410
MBOAT7,DRF_model_R_1546575242649_2960
AKNA,DRF_model_R_1546564584140_2780
EIF3I,DRF_model_R_1546661318323_977
POLR2B,DRF_model_R_1546748312635_5772
ALYREF,DRF_model_R_1546748312635_5489
SPC24,DRF_model_R_1546748241837_556
RPS27,DRF_model_R_1546748241837_6422
TUFM,DRF_model_R_1546748383328_6763
PSMD6,DRF_model_R_1546748312635_1646
TARDBP,DRF_model_R_1546841539498_1094
ADSL,DRF_model_R_1546748383328_4119
SRRM1,DRF_model_R_1546579322866_5398
MED1,DRF_model_R_1547038769792_526
RBMX,DRF_model_R_1547172361252_101
CPA6,DRF_model_R_1546748383328_3126
GRPEL1,DRF_model_R_1546748383328_5614
